START_SHOWCONTROL
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,PART_NUMBER,LABEL,TIME_ADDRESS,DATE,TRIGGER,ACTION
28,Event,1,0,5,,,,Source 1 External,Network
28,Event,1,1,5,Sub 9 Remote,,,sACN:  409,Sub  9 
28,Event,41,0,5,,,,Source 1 External,Network
28,Event,41,1,5,Fader Level 0x01,,,MIDI: B0 00 01,Sub  41
28,Event,41,2,5,Fader Level 0x02,,,MIDI: B0 00 02,Sub  41
28,Event,41,3,5,Fader Level 0x03,,,MIDI: B0 00 03,Sub  41
28,Event,41,4,5,Fader Level 0x04,,,MIDI: B0 00 04,Sub  41
28,Event,41,5,5,Fader Level 0x05,,,MIDI: B0 00 05,Sub  41
28,Event,41,6,5,Fader Level 0x06,,,MIDI: B0 00 06,Sub  41
28,Event,41,7,5,Fader Level 0x07,,,MIDI: B0 00 07,Sub  41
28,Event,41,8,5,Fader Level 0x08,,,MIDI: B0 00 08,Sub  41
28,Event,41,9,5,Fader Level 0x09,,,MIDI: B0 00 09,Sub  41
28,Event,41,10,5,Fader Level 0x0A,,,MIDI: B0 00 0A,Sub  41
28,Event,41,11,5,Fader Level 0x0B,,,MIDI: B0 00 0B,Sub  41
28,Event,41,12,5,Fader Level 0x0C,,,MIDI: B0 00 0C,Sub  41
28,Event,41,13,5,Fader Level 0x0D,,,MIDI: B0 00 0D,Sub  41
28,Event,41,14,5,Fader Level 0x0E,,,MIDI: B0 00 0E,Sub  41
28,Event,41,15,5,Fader Level 0x0F,,,MIDI: B0 00 0F,Sub  41
28,Event,41,16,5,Fader Level 0x10,,,MIDI: B0 00 10,Sub  41
28,Event,41,17,5,Fader Level 0x11,,,MIDI: B0 00 11,Sub  41
28,Event,41,18,5,Fader Level 0x12,,,MIDI: B0 00 12,Sub  41
28,Event,41,19,5,Fader Level 0x13,,,MIDI: B0 00 13,Sub  41
28,Event,41,20,5,Fader Level 0x14,,,MIDI: B0 00 14,Sub  41
